Sentence_ID,Word,POS,Tag
1,"['Mr', ""Modi's"", 'party', 'also', 'won', 'the', 'Chandigarh', 'seat;', 'the', 'Congress', 'held', 'this', 'for', 'three', 'terms', 'previously,', 'with', 'Pawan', 'Kumar', 'Bansal', 'winning', 'in', '1999,', '2004,', 'and', '2009.']","['NN', 'NNP', 'NN', 'RB', 'VB', 'DT', 'NNP', 'NN', 'DT', 'NNP', 'VB', 'DT', 'IN', 'CD', 'NN', 'RB', 'IN', 'NNP', 'NNP', 'NNP', 'VB', 'IN', 'CD', 'CD', 'CC', 'CD']","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-GEO', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'I-DATE']"
2,"['Mr', 'Gandhi', 'has', 'spoken', 'to', 'Shiv', 'Sena', '(UBT)', 'boss', 'Uddhav', 'Thackeray', 'to', 'complete', 'talks', 'in', 'Maharashtra', 'and', 'Ms', 'Gandhi', 'Vadra', 'ensured', 'the', 'deal', 'with', 'Akhilesh', 'Yadav', 'was', 'struck.']","['NN', 'NNP', 'VB', 'VB', 'IN', 'NNP', 'NNP', 'NNP', 'NN', 'NNP', 'NNP', 'IN', 'VB', 'NN', 'IN', 'NNP', 'CC', 'NN', 'NNP', 'NNP', 'VB', 'DT', 'NN', 'IN', 'NNP', 'NNP', 'VB', 'VB']","['B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-GEO', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O']"
3,"['The', 'Centre', 'today', 'acknowledged', 'that', 'some', 'Indians', 'are', 'entangled', 'in', ""Russia's"", 'ongoing', 'war', 'with', 'Ukraine.']","['DT', 'NNP', 'NN', 'VB', 'IN', 'NN', 'NN', 'VB', 'VB', 'IN', 'NNP', 'JJ', 'NN', 'IN', 'NNP']","['O', 'B-ORG', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'B-GPE']"
4,"['Yesterday,', 'reports', 'emerged', 'that', 'dozens', 'of', 'Indians', 'were', 'allegedly', 'duped', 'into', 'military', 'service', 'in', 'Russia.']","['NN', 'NN', 'VB', 'IN', 'NN', 'IN', 'NN', 'VB', 'RB', 'VB', 'IN', 'JJ', 'NN', 'IN', 'NNP']","['B-DATE', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['Imran,', ""Sufiyan's"", 'brother,', 'revealed', 'the', 'deceptive', 'tactics', 'employed', 'by', 'agents', 'associated', 'with', 'Faisal', 'Khan,', 'who', 'runs', 'a', 'YouTube', 'channel', 'named', ""'Baba"", ""Vlogs'.""]","['NNP', 'NNP', 'NN', 'VB', 'DT', 'JJ', 'NN', 'VB', 'IN', 'NN', 'VB', 'IN', 'NNP', 'NNP', 'PRP', 'VB', 'DT', 'NNP', 'NN', 'VB', 'NNP', 'NNP']","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'I-ORG', 'O', 'O', 'O', 'O']"
6,"['With', 'nine', 'Indian', 'men', 'reportedly', 'within', 'the', 'Ukrainian', 'borders,', 'facing', 'danger', 'and', 'injuries,', 'the', 'distressed', 'families', 'seek', 'help', 'from', 'the', 'Centre.']","['IN', 'CD', 'IN', 'JJ', 'NN', 'RB', 'IN', 'DT', 'NNP', 'NN', 'VB', 'NN', 'CC', 'NN', 'DT', 'JJ', 'NN', 'VB', 'NN', 'IN', 'DT', 'NNP']","['O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG']"
7,"['Mr', 'Owaisi', 'formally', 'wrote', 'to', 'External', 'Affairs', 'Minister', 'S', 'Jaishankar,', 'seeking', 'intervention', 'to', 'bring', 'back', 'the', 'affected', 'Indians.']","['NNP', 'NNP', 'RB', 'VB', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'VB', 'NN', 'IN', 'VB', 'RB', 'DT', 'JJ', 'NN']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP']"
8,"['Telangana', 'MLA', 'Lasya', 'Nanditha', 'died', 'today', 'after', 'the', 'SUV', 'she', 'was', 'travelling', 'in', 'collided', 'with', 'a', 'road', 'divider', 'in', 'Hyderabad.']","['NNP', 'NNP', 'NNP', 'NNP', 'VB', 'NN', 'IN', 'DT', 'NN', 'PRP', 'VB', 'VB', 'IN', 'VB', 'IN', 'DT', 'NN', 'NN', 'IN', 'NNP']","['B-GPE', 'O', 'B-PER', 'I-PER', 'O', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE']"
9,"['This', 'though,', 'was', 'the', 'second', 'major', 'accident', 'that', 'the', 'Bharat', 'Rashtra', 'Samithi', '(BRS)', 'leader', 'was', 'involved', 'in', 'this', 'month.']","['DT', 'IN', 'VB', 'DT', 'CD', 'JJ', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', 'NN', 'VB', 'VB', 'IN', 'DT', 'NN']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
10,"['She', 'was', 'on', 'her', 'way', 'to', 'a', 'rally', 'being', 'addressed', 'by', 'Telangana', 'Chief', 'Minister', 'Revanth', 'Reddy', 'when', 'a', 'drunk', 'driver', 'rammed', 'into', 'her', 'vehicle.']","['PRP', 'VB', 'IN', 'PRP', 'NN', 'IN', 'DT', 'NN', 'VB', 'VB', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'RB', 'DT', 'JJ', 'NN', 'VB', 'IN', 'PRP', 'NN']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
11,"[""Today's"", 'fatal', 'accident', 'occurred', 'when', 'the', 'driver', 'of', 'her', 'vehicle,', 'a', 'Maruti', 'XL6,', 'lost', 'control', 'and', 'crashed', 'into', 'the', 'metal', 'divider', 'on', 'the', 'Outer', 'Ring', 'Road', 'in', 'Hyderabad.']","['NNP', 'JJ', 'NN', 'VB', 'RB', 'DT', 'NN', 'IN', 'PRP', 'NN', 'DT', 'NNP', 'NNP', 'VB', 'NN', 'CC', 'VB', 'IN', 'DT', 'NN', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'IN', 'NNP']","['B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'I-PRODUCT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GEO', 'I-GEO', 'I-GEO', 'O', 'B-GEO']"
12,"['The', '37-year-old', 'first-time', 'legislator', 'from', 'Secunderabad', 'Cantonment', '(SC)', 'was', 'shifted', 'to', 'a', 'hospital', 'where', 'the', 'doctors', 'declared', 'her', 'dead', 'on', 'arrival.']","['DT', 'JJ', 'JJ', 'NN', 'IN', 'NNP', 'NNP', 'NNP', 'VB', 'VB', 'IN', 'DT', 'NN', 'RB', 'DT', 'NN', 'VB', 'PRP', 'JJ', 'IN', 'NN']","['O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
13,"['Born', 'in', '1986', 'in', 'Hyderabad,', 'Lasya', 'Nanditha', 'made', 'her', 'foray', 'into', 'politics', 'around', 'a', 'decade', 'ago.']","['VB', 'IN', 'CD', 'IN', 'NNP', 'NNP', 'NNP', 'VB', 'PRP', 'NN', 'IN', 'NN', 'IN', 'DT', 'NN', 'RB']","['O', 'O', 'B-DATE', 'O', 'B-GPE', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14,"['Expressing', 'grief', 'over', 'the', 'tragic', 'death', 'of', 'Lasya', 'Nandita,', 'Revanth', 'Reddy', 'recalled', 'his', 'close', 'association', 'with', 'her', 'late', 'father', 'G', 'Sayanna.']","['VB', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'VB', 'PRP', 'JJ', 'NN', 'IN', 'PRP', 'JJ', 'NN', 'NNP', 'NNP']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER']"
15,"['External', 'Affairs', 'Minister', 'S', 'Jaishankar', 'on', 'Friday', 'said', 'arriving', 'at', 'an', 'equilibrium', 'and', 'maintaining', 'it', 'is', 'going', 'to', 'be', 'one', 'of', 'the', '""biggest', 'challenges""', 'for', 'India-China', 'ties.']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'VB', 'VB', 'IN', 'DT', 'NN', 'CC', 'VB', 'PRP', 'VB', 'VB', 'IN', 'VB', 'CC', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'NN']","['O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O']"
16,"['Mr', 'Jaishankar', 'said', 'India', 'should', 'be', 'confident', 'enough', 'to', '""leverage""', 'the', 'international', 'system', 'to', 'create', 'the', '""best', 'possible', 'outcome"".']","['NNP', 'NNP', 'VB', 'NNP', 'MD', 'VB', 'JJ', 'RB', 'IN', 'VB', 'DT', 'JJ', 'NN', 'IN', 'VB', 'DT', 'JJ', 'JJ', 'NN']","['B-PER', 'I-PER', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['I', 'think', 'arriving', 'at', 'an', 'equilibrium,', 'then', 'maintaining', 'those', 'and', 'refreshing', 'those', 'is', 'going', 'to', 'be', 'one', 'of', 'the', 'biggest', 'challenges', 'for', 'both', 'countries.']","['PRP', 'VB', 'VB', 'IN', 'DT', 'NN', 'RB', 'VB', 'DT', 'CC', 'VB', 'DT', 'VB', 'VB', 'IN', 'VB', 'CD', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC']"
18,"['The', 'external', 'affairs', 'minister', 'said', '""mind', 'games""', 'will', 'be', 'played', 'which', 'would', 'be', 'that', 'it', 'is', '""just', 'between', 'the', 'two', 'of', 'us"".']","['DT', 'JJ', 'NN', 'NN', 'VB', 'JJ', 'NN', 'MD', 'VB', 'VB', 'VB', 'WDT', 'MD', 'VB', 'IN', 'PRP', 'VB', 'RB', 'IN', 'DT', 'CD', 'IN', 'PRP']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19,"['Talking', 'about', 'the', 'two', 'economies,', 'Mr', 'Jaishankar', 'said', 'the', 'Chinese', 'started', 'off', '""earlier', 'and', 'much', 'more', 'intensively', 'and', 'robustly""', 'than', 'India', 'did.']","['VB', 'IN', 'DT', 'CD', 'NN', 'NNP', 'VB', 'DT', 'NNP', 'VB', 'RB', 'JJ', 'CC', 'RB', 'RB', 'RB', 'CC', 'RB', 'IN', 'NNP', 'VB']","['O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O']"
20,"['The', 'IT', 'Ministry', 'is', 'in', 'the', 'process', 'of', 'issuing', 'a', 'notice', 'to', 'Google', 'over', '“problematic', 'and', 'illegal”', 'responses', 'generated', 'by', 'its', 'AI', 'platform', 'Gemini', 'regarding', 'Prime', 'Minister', 'Narendra', 'Modi.']","['DT', 'NNP', 'NNP', 'VB', 'IN', 'DT', 'NN', 'IN', 'VB', 'DT', 'NN', 'IN', 'NNP', 'IN', 'JJ', 'CC', 'JJ', 'NN', 'VB', 'IN', 'DT', 'NNP', 'NN', 'NNP', 'IN', 'NNP', 'NNP', 'NNP', 'NNP']","['O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'I-ORG', 'O']"
21,"['The', 'escalation', 'is', 'symbolic', 'of', 'the', 'tussle', 'between', 'lawmakers', 'and', 'tech', 'companies', 'over', 'the', 'future', 'of', 'safe', 'harbour', 'protections', 'to', 'generative', 'AI', 'platforms', 'like', 'Gemini', 'and', 'ChatGPT.']","['DT', 'NN', 'VB', 'JJ', 'IN', 'DT', 'DT', 'NN', 'IN', 'NN', 'CC', 'NN', 'NN', 'IN', 'DT', 'NN', 'IN', 'JJ', 'NN', 'NN', 'IN', 'JJ', 'NNP', 'NN', 'IN', 'NNP', 'CC', 'NNP']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-ORG']"
22,"['These', 'rules', 'pertain', 'to', 'basic', 'due', 'diligence', 'that', 'is', 'required', 'of', 'intermediaries', 'like', 'Google', 'to', 'enjoy', 'immunity', 'from', 'third-party', 'content.']","['DT', 'NN', 'VB', 'IN', 'JJ', 'JJ', 'NN', 'WDT', 'VB', 'VB', 'IN', 'NN', 'IN', 'NN', 'IN', 'VB', 'NN', 'IN', 'JJ', 'NN']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
23,"['Last', 'year,', 'a', 'user', 'had', 'claimed', 'that', 'Gemini', '–', 'then', 'known', 'as', 'Bard', '–', 'refused', 'to', 'summarise', 'the', 'article', 'of', 'a', 'conservative', 'outlet', 'as', 'the', 'platform', 'allegedly', 'spreads', 'false', 'information.']","['JJ', 'NN', 'DT', 'NN', 'VB', 'VB', 'IN', 'NNP', 'RB', 'VB', 'IN', 'NNP', 'VB', 'IN', 'VB', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'RB', 'VB', 'JJ', 'NN']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
24,"['The', 'external', 'affairs', 'minister', 'suggested', 'that', 'policies', 'of', 'the', 'West', 'are', 'bringing', 'Russia', 'and', 'China', 'closer.']","['DT', 'JJ', 'NN', 'NN', 'VB', 'IN', 'NN', 'IN', 'DT', 'NNP', 'VB', 'VB', 'NNP', 'CC', 'NNP', 'RB']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O']"
25,"['The', 'question', 'was', 'asked', 'by', 'Michael', 'Fullilove,', 'Executive', 'Director', 'of', 'Lowy', 'Institute,', 'Australia.']","['DT', 'NN', 'VB', 'VB', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'NNP', 'NNP']","['O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'B-LOC']"
26,"['The', 'ties', 'between', 'India', 'and', 'Russia', 'remained', 'strong', 'notwithstanding', 'Moscow’s', 'invasion', 'of', 'Ukraine.']","['DT', 'NN', 'IN', 'NNP', 'CC', 'NNP', 'VB', 'JJ', 'IN', 'NNP', 'NN', 'IN', 'NNP']","['O', 'O', 'O', 'B-GPE', 'O', 'B-GPE', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'B-GPE']"
27,"['India’s', 'import', 'of', 'Russian', 'crude', 'oil', 'has', 'gone', 'up', 'significantly', 'despite', 'increasing', 'disquiet', 'over', 'it', 'in', 'many', 'Western', 'countries.']","['NNP', 'NN', 'IN', 'JJ', 'NN', 'NN', 'VB', 'VB', 'RB', 'RB', 'IN', 'VB', 'NN', 'IN', 'PRP', 'IN', 'JJ', 'JJ', 'NN']","['B-GPE', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O']"
28,"['India', 'has', 'not', 'yet', 'condemned', 'the', 'Russian', 'invasion', 'of', 'Ukraine', 'and', 'it', 'has', 'been', 'maintaining', 'that', 'the', 'crisis', 'must', 'be', 'resolved', 'through', 'diplomacy', 'and', 'dialogue.']","['NNP', 'VB', 'RB', 'RB', 'VB', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'CC', 'PRP', 'VB', 'VB', 'VB', 'IN', 'DT', 'NN', 'MD', 'VB', 'VB', 'IN', 'NN', 'CC', 'NN']","['B-GPE', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
29,"['In', 'his', 'remarks,', 'Jaishankar', 'also', 'highlighted', 'India’s', 'G20', 'presidency', 'and', 'how', 'it', 'ensured', 'induction', 'of', 'the', 'African', 'Union', 'as', 'a', 'permanent', 'member', 'of', 'the', 'grouping.']","['IN', 'PRP', 'NN', 'NNP', 'RB', 'VB', 'VB', 'VB', 'NN', 'CC', 'RB', 'PRP', 'VB', 'NN', 'IN', 'DT', 'JJ', 'NNP', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN']","['O', 'O', 'O', 'B-PER', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
30,"['He', 'noted', 'that', 'if', 'the', 'G20', 'could', 'be', 'expanded,', 'the', 'permanent', 'membership', 'of', 'the', 'UN', 'Security', 'Council', 'can', 'also', 'be', 'increased.']","['PRP', 'VB', 'IN', 'IN', 'DT', 'NNP', 'MD', 'VB', 'VB', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'MD', 'RB', 'VB', 'VB']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O']"